Date,Open,High,Low,Close,Volume
2022-05-20 00:00:00,1120.0,1140.0,1090.0,1125.0,22043300
2022-05-23 00:00:00,1125.0,1145.0,1095.0,1145.0,16176400
2022-05-24 00:00:00,1145.0,1150.0,1090.0,1095.0,17783500
2022-05-25 00:00:00,1095.0,1095.0,1065.0,1070.0,19492400
2022-05-27 00:00:00,1085.0,1145.0,1080.0,1130.0,63271900
2022-05-30 00:00:00,1145.0,1155.0,1110.0,1115.0,14470000
2022-05-31 00:00:00,1130.0,1140.0,1110.0,1140.0,22457900
2022-06-02 00:00:00,1140.0,1140.0,1110.0,1130.0,8204500
2022-06-03 00:00:00,1140.0,1185.0,1120.0,1180.0,39911600
2022-06-06 00:00:00,1190.0,1230.0,1175.0,1230.0,63504600
2022-06-07 00:00:00,1230.0,1235.0,1190.0,1230.0,33746900
2022-06-08 00:00:00,1225.0,1240.0,1185.0,1190.0,34774400
2022-06-09 00:00:00,1190.0,1210.0,1130.0,1145.0,42295600
2022-06-10 00:00:00,1120.0,1150.0,1095.0,1120.0,34083000
2022-06-13 00:00:00,1090.0,1095.0,1060.0,1080.0,10488600
2022-06-14 00:00:00,1080.0,1080.0,1005.0,1020.0,41517500
2022-06-15 00:00:00,1020.0,1050.0,955.0,1020.0,27514800
2022-06-16 00:00:00,1040.0,1050.0,1010.0,1015.0,10409600
2022-06-17 00:00:00,1015.0,1015.0,980.0,1000.0,11964900
2022-06-20 00:00:00,1000.0,1000.0,935.0,980.0,26854800
2022-06-21 00:00:00,980.0,1035.0,980.0,1025.0,27829600
2022-06-22 00:00:00,1025.0,1035.0,1010.0,1010.0,8496000
2022-06-23 00:00:00,1010.0,1015.0,980.0,1010.0,15119500
2022-06-24 00:00:00,1010.0,1045.0,1000.0,1045.0,18911700
2022-06-27 00:00:00,1050.0,1055.0,1015.0,1055.0,11280200
2022-06-28 00:00:00,1060.0,1075.0,1040.0,1070.0,8918600
2022-06-29 00:00:00,1070.0,1135.0,1050.0,1135.0,34996500
2022-06-30 00:00:00,1140.0,1140.0,1095.0,1095.0,32049000
